"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jul 14 22:29:48 GMT 2024","Sun Jul 14 22:29:49 GMT 2024","662","","com.tests.lesson12_parametrizedTests.SelenideLocaleWebTest","","com.tests.lesson12_parametrizedTests.SelenideLocaleWebTest","selenideLocaleWebTest","selenideLocaleWebTest(SelenideLocale, List) Для локали Ru на сайте https://selenide.org/ должен отображаться список кнопок [С чего начать?, Док, ЧАВО, Блог, Javadoc, Пользователи, Отзывы]",""
"skipped","Sun Jul 14 22:29:49 GMT 2024","Sun Jul 14 22:29:49 GMT 2024","0","","com.tests.lesson12_parametrizedTests.SimpleWebTest","","com.tests.lesson12_parametrizedTests.SimpleWebTest","searchTest","searchTest(String)",""
"skipped","Sun Jul 14 22:29:57 GMT 2024","Sun Jul 14 22:29:57 GMT 2024","0","","com.tests.lesson13_fileDownloadTests.parsing.FileParsingTest","","com.tests.lesson13_fileDownloadTests.parsing.FileParsingTest","fileParsingTest","fileParsingTest()",""
"passed","Sun Jul 14 22:29:57 GMT 2024","Sun Jul 14 22:30:01 GMT 2024","4053","","com.tests.lesson3_selenideTests.GithubWebTests","","com.tests.lesson3_selenideTests.GithubWebTests","HoverTest","HoverTest()","Homework 4"
"skipped","Sun Jul 14 22:29:45 GMT 2024","Sun Jul 14 22:29:45 GMT 2024","0","","com.tests.lesson12_parametrizedTests.HwParametrizedTests","","com.tests.lesson12_parametrizedTests.HwParametrizedTests","habrLocaleTest","habrLocaleTest(HabrLocale, List)",""
"passed","Sun Jul 14 22:30:04 GMT 2024","Sun Jul 14 22:30:06 GMT 2024","1711","","com.tests.lesson3_selenideTests.GithubWebTests","","com.tests.lesson3_selenideTests.GithubWebTests","isSolntsevFirstContributorLambdaTest","isSolntsevFirstContributorLambdaTest()",""
"skipped","Sun Jul 14 22:29:49 GMT 2024","Sun Jul 14 22:29:49 GMT 2024","0","","Простые демонстрационные тесты","","com.tests.lesson12_parametrizedTests.SimpleTest","simpleTest","Проверка корректности работы метода",""
"skipped","Sun Jul 14 22:29:57 GMT 2024","Sun Jul 14 22:29:57 GMT 2024","0","","com.tests.lesson13_fileDownloadTests.parsing.FileParsingTest","","com.tests.lesson13_fileDownloadTests.parsing.FileParsingTest","jsonCleverTest","jsonCleverTest()",""
"skipped","Sun Jul 14 22:29:57 GMT 2024","Sun Jul 14 22:29:57 GMT 2024","0","","com.tests.lesson13_fileDownloadTests.parsing.FileParsingTest","","com.tests.lesson13_fileDownloadTests.parsing.FileParsingTest","csvParsingTest","csvParsingTest()",""
"skipped","Sun Jul 14 22:30:06 GMT 2024","Sun Jul 14 22:30:06 GMT 2024","0","","com.tests.lesson3_selenideTests.HerokuAppTests","","com.tests.lesson3_selenideTests.HerokuAppTests","DragNDropWithSelenideTest","DragNDropWithSelenideTest()",""
"skipped","Sun Jul 14 22:29:57 GMT 2024","Sun Jul 14 22:29:57 GMT 2024","0","","com.tests.lesson13_fileDownloadTests.parsing.HwFileParsingTest","","com.tests.lesson13_fileDownloadTests.parsing.HwFileParsingTest","zipParsingTest","zipParsingTest()",""
"skipped","Sun Jul 14 22:30:06 GMT 2024","Sun Jul 14 22:30:06 GMT 2024","0","","com.tests.lesson3_selenideTests.HerokuAppTests","","com.tests.lesson3_selenideTests.HerokuAppTests","RemoveElementsTest","RemoveElementsTest()","remove elements "
"passed","Sun Jul 14 22:30:01 GMT 2024","Sun Jul 14 22:30:04 GMT 2024","3138","","com.tests.lesson3_selenideTests.GithubWebTests","","com.tests.lesson3_selenideTests.GithubWebTests","validation","validation()",""
"passed","Sun Jul 14 22:30:06 GMT 2024","Sun Jul 14 22:30:08 GMT 2024","1617","","com.tests.lesson3_selenideTests.Homework3Tests","","com.tests.lesson3_selenideTests.Homework3Tests","SoftAssertionsExistTest","SoftAssertionsExistTest()",""
"skipped","Sun Jul 14 22:29:45 GMT 2024","Sun Jul 14 22:29:45 GMT 2024","0","","com.tests.lesson12_parametrizedTests.HwParametrizedTests","","com.tests.lesson12_parametrizedTests.HwParametrizedTests","percentCalcTest","percentCalcTest(String, String, String)",""
"passed","Sun Jul 14 22:29:57 GMT 2024","Sun Jul 14 22:29:57 GMT 2024","55","","com.tests.lesson13_fileDownloadTests.parsing.HwJsonParsingTest","","com.tests.lesson13_fileDownloadTests.parsing.HwJsonParsingTest","jsonParsingTest","jsonParsingTest()",""
"skipped","Sun Jul 14 22:29:57 GMT 2024","Sun Jul 14 22:29:57 GMT 2024","0","","com.tests.lesson13_fileDownloadTests.parsing.FileParsingTest","","com.tests.lesson13_fileDownloadTests.parsing.FileParsingTest","jsonParsingTest","jsonParsingTest()",""
"skipped","Sun Jul 14 22:29:45 GMT 2024","Sun Jul 14 22:29:45 GMT 2024","1","","com.tests.lesson12_parametrizedTests.HwParametrizedTests","","com.tests.lesson12_parametrizedTests.HwParametrizedTests","wikipediaSearchTest","wikipediaSearchTest(String)",""
"passed","Sun Jul 14 22:29:49 GMT 2024","Sun Jul 14 22:29:55 GMT 2024","6329","","com.tests.lesson13_fileDownloadTests.FileDownloadTest","","com.tests.lesson13_fileDownloadTests.FileDownloadTest","uploadTest","uploadTest()",""
"skipped","Sun Jul 14 22:29:57 GMT 2024","Sun Jul 14 22:29:57 GMT 2024","0","","com.tests.lesson13_fileDownloadTests.parsing.FileParsingTest","","com.tests.lesson13_fileDownloadTests.parsing.FileParsingTest","zipParsingTest","zipParsingTest()",""
"skipped","Sun Jul 14 22:30:08 GMT 2024","Sun Jul 14 22:30:08 GMT 2024","0","","com.tests.lesson9_PageObject.tests.TextBoxTests","","com.tests.lesson9_PageObject.tests.TextBoxTests","textBoxFormTest","Проверка заполнения формы",""
"skipped","Sun Jul 14 22:30:06 GMT 2024","Sun Jul 14 22:30:06 GMT 2024","0","","com.tests.lesson3_selenideTests.HerokuAppTests","","com.tests.lesson3_selenideTests.HerokuAppTests","DragNDropWithActionsTest","DragNDropWithActionsTest()",""
"passed","Sun Jul 14 22:29:45 GMT 2024","Sun Jul 14 22:29:48 GMT 2024","2577","","com.tests.lesson12_parametrizedTests.SelenideLocaleWebTest","","com.tests.lesson12_parametrizedTests.SelenideLocaleWebTest","selenideLocaleWebTest","selenideLocaleWebTest(SelenideLocale, List) Для локали En на сайте https://selenide.org/ должен отображаться список кнопок [Quick start, Docs, FAQ, Blog, Javadoc, Users, Quotes]",""
"skipped","Sun Jul 14 22:29:57 GMT 2024","Sun Jul 14 22:29:57 GMT 2024","0","","com.tests.lesson13_fileDownloadTests.parsing.FileParsingTest","","com.tests.lesson13_fileDownloadTests.parsing.FileParsingTest","xlsParsingTest","xlsParsingTest()",""
